customer_id_fraud,order_id,txn_time_gmt7,service_group_name,service_name,payer_user_id,payer_user_type,payee_user_id,payee_user_type,amount,command_name,customer_id,merchant
17378.0,,,,,,,,,,,,
17379.0,,,,,,,,,,,,
17382.0,,,,,,,,,,,,
17383.0,,,,,,,,,,,,
17384.0,,,,,,,,,,,,
17385.0,,,,,,,,,,,,
17386.0,,,,,,,,,,,,
17387.0,,,,,,,,,,,,
17388.0,,,,,,,,,,,,
17391.0,,,,,,,,,,,,
17392.0,,,,,,,,,,,,
17394.0,,,,,,,,,,,,
17397.0,,,,,,,,,,,,
17401.0,,,,,,,,,,,,
17402.0,,,,,,,,,,,,
17404.0,,,,,,,,,,,,
17405.0,,,,,,,,,,,,
17406.0,,,,,,,,,,,,
17412.0,,,,,,,,,,,,
17413.0,,,,,,,,,,,,
17421.0,,,,,,,,,,,,
17429.0,,,,,,,,,,,,
17430.0,,,,,,,,,,,,
17431.0,,,,,,,,,,,,
17438.0,,,,,,,,,,,,
17439.0,,,,,,,,,,,,
17443.0,,,,,,,,,,,,
17444.0,,,,,,,,,,,,
17446.0,,,,,,,,,,,,
17447.0,,,,,,,,,,,,
17448.0,,,,,,,,,,,,
17450.0,,,,,,,,,,,,
17453.0,,,,,,,,,,,,
17454.0,,,,,,,,,,,,
17455.0,,,,,,,,,,,,
17456.0,,,,,,,,,,,,
17457.0,,,,,,,,,,,,
17458.0,,,,,,,,,,,,
17459.0,,,,,,,,,,,,
17461.0,,,,,,,,,,,,
17462.0,,,,,,,,,,,,
17463.0,,,,,,,,,,,,
17467.0,,,,,,,,,,,,
17468.0,,,,,,,,,,,,
17469.0,,,,,,,,,,,,
17470.0,,,,,,,,,,,,
17472.0,,,,,,,,,,,,
17473.0,,,,,,,,,,,,
17474.0,,,,,,,,,,,,
17476.0,,,,,,,,,,,,
17477.0,,,,,,,,,,,,
17478.0,,,,,,,,,,,,
17479.0,,,,,,,,,,,,
17480.0,,,,,,,,,,,,
17481.0,,,,,,,,,,,,
17482.0,,,,,,,,,,,,
17483.0,,,,,,,,,,,,
17484.0,,,,,,,,,,,,
17485.0,,,,,,,,,,,,
17486.0,,,,,,,,,,,,
17487.0,,,,,,,,,,,,
17488.0,,,,,,,,,,,,
17489.0,,,,,,,,,,,,
17490.0,,,,,,,,,,,,
17491.0,,,,,,,,,,,,
17492.0,,,,,,,,,,,,
17494.0,,,,,,,,,,,,
17495.0,,,,,,,,,,,,
17496.0,,,,,,,,,,,,
17497.0,,,,,,,,,,,,
17498.0,,,,,,,,,,,,
17499.0,,,,,,,,,,,,
17500.0,,,,,,,,,,,,
17501.0,,,,,,,,,,,,
17502.0,,,,,,,,,,,,
17503.0,,,,,,,,,,,,
17504.0,,,,,,,,,,,,
17505.0,,,,,,,,,,,,
17506.0,,,,,,,,,,,,
17508.0,,,,,,,,,,,,
17509.0,,,,,,,,,,,,
17510.0,,,,,,,,,,,,
17511.0,,,,,,,,,,,,
17512.0,,,,,,,,,,,,
17513.0,,,,,,,,,,,,
17515.0,,,,,,,,,,,,
17516.0,,,,,,,,,,,,
17517.0,,,,,,,,,,,,
17518.0,,,,,,,,,,,,
17520.0,,,,,,,,,,,,
17521.0,,,,,,,,,,,,
17522.0,,,,,,,,,,,,
17523.0,,,,,,,,,,,,
17524.0,,,,,,,,,,,,
17525.0,,,,,,,,,,,,
17526.0,,,,,,,,,,,,
17527.0,,,,,,,,,,,,
17528.0,,,,,,,,,,,,
17529.0,,,,,,,,,,,,
17530.0,,,,,,,,,,,,
17531.0,,,,,,,,,,,,
17533.0,,,,,,,,,,,,
17534.0,,,,,,,,,,,,
17535.0,,,,,,,,,,,,
17536.0,,,,,,,,,,,,
17537.0,,,,,,,,,,,,
17538.0,,,,,,,,,,,,
17539.0,,,,,,,,,,,,
17541.0,,,,,,,,,,,,
17544.0,,,,,,,,,,,,
17545.0,,,,,,,,,,,,
17547.0,,,,,,,,,,,,
17548.0,,,,,,,,,,,,
17549.0,,,,,,,,,,,,
17550.0,,,,,,,,,,,,
17552.0,,,,,,,,,,,,
17556.0,,,,,,,,,,,,
17558.0,,,,,,,,,,,,
17560.0,,,,,,,,,,,,
17561.0,,,,,,,,,,,,
17563.0,,,,,,,,,,,,
17567.0,,,,,,,,,,,,
17568.0,,,,,,,,,,,,
17569.0,,,,,,,,,,,,
17571.0,,,,,,,,,,,,
17573.0,,,,,,,,,,,,
17575.0,,,,,,,,,,,,
17577.0,,,,,,,,,,,,
17578.0,,,,,,,,,,,,
17581.0,,,,,,,,,,,,
17582.0,,,,,,,,,,,,
17583.0,,,,,,,,,,,,
17584.0,,,,,,,,,,,,
17585.0,,,,,,,,,,,,
17590.0,,,,,,,,,,,,
17591.0,,,,,,,,,,,,
17592.0,,,,,,,,,,,,
17593.0,,,,,,,,,,,,
17594.0,,,,,,,,,,,,
17595.0,,,,,,,,,,,,
17596.0,,,,,,,,,,,,
17597.0,,,,,,,,,,,,
17598.0,,,,,,,,,,,,
17599.0,,,,,,,,,,,,
17604.0,,,,,,,,,,,,
17605.0,,,,,,,,,,,,
17606.0,,,,,,,,,,,,
17615.0,,,,,,,,,,,,
17623.0,,,,,,,,,,,,
17628.0,,,,,,,,,,,,
17630.0,,,,,,,,,,,,
17634.0,,,,,,,,,,,,
17636.0,,,,,,,,,,,,
17640.0,,,,,,,,,,,,
17642.0,,,,,,,,,,,,
17652.0,,,,,,,,,,,,
17653.0,,,,,,,,,,,,
17658.0,,,,,,,,,,,,
17659.0,,,,,,,,,,,,
17664.0,,,,,,,,,,,,
17673.0,,,,,,,,,,,,
22365.0,,,,,,,,,,,,
22718.0,,,,,,,,,,,,
24723.0,,,,,,,,,,,,
24763.0,,,,,,,,,,,,
24790.0,,,,,,,,,,,,
25012.0,,,,,,,,,,,,
25458.0,,,,,,,,,,,,
25529.0,,,,,,,,,,,,
25600.0,,,,,,,,,,,,
25703.0,,,,,,,,,,,,
25718.0,,,,,,,,,,,,
25733.0,,,,,,,,,,,,
25744.0,,,,,,,,,,,,
25844.0,,,,,,,,,,,,
26161.0,,,,,,,,,,,,
26164.0,,,,,,,,,,,,
26166.0,,,,,,,,,,,,
26174.0,,,,,,,,,,,,
26185.0,,,,,,,,,,,,
26188.0,,,,,,,,,,,,
26189.0,,,,,,,,,,,,
26195.0,,,,,,,,,,,,
26290.0,,,,,,,,,,,,
26640.0,,,,,,,,,,,,
26671.0,,,,,,,,,,,,
26692.0,,,,,,,,,,,,
26745.0,,,,,,,,,,,,
26885.0,,,,,,,,,,,,
26893.0,,,,,,,,,,,,
27063.0,,,,,,,,,,,,
27266.0,,,,,,,,,,,,
27311.0,,,,,,,,,,,,
27356.0,,,,,,,,,,,,
27386.0,,,,,,,,,,,,
27405.0,,,,,,,,,,,,
27442.0,,,,,,,,,,,,
27505.0,,,,,,,,,,,,
27554.0,,,,,,,,,,,,
27592.0,,,,,,,,,,,,
27675.0,,,,,,,,,,,,
27706.0,,,,,,,,,,,,
27714.0,,,,,,,,,,,,
27715.0,,,,,,,,,,,,
27730.0,,,,,,,,,,,,
27732.0,,,,,,,,,,,,
27883.0,,,,,,,,,,,,
27884.0,,,,,,,,,,,,
27886.0,,,,,,,,,,,,
27914.0,,,,,,,,,,,,
27916.0,,,,,,,,,,,,
27919.0,,,,,,,,,,,,
27950.0,,,,,,,,,,,,
27974.0,,,,,,,,,,,,
28070.0,,,,,,,,,,,,
28078.0,,,,,,,,,,,,
28110.0,,,,,,,,,,,,
28119.0,,,,,,,,,,,,
28142.0,,,,,,,,,,,,
28144.0,,,,,,,,,,,,
28184.0,,,,,,,,,,,,
28185.0,,,,,,,,,,,,
28194.0,,,,,,,,,,,,
28215.0,,,,,,,,,,,,
28217.0,,,,,,,,,,,,
28219.0,,,,,,,,,,,,
28221.0,,,,,,,,,,,,
28238.0,,,,,,,,,,,,
28239.0,,,,,,,,,,,,
28247.0,,,,,,,,,,,,
28248.0,,,,,,,,,,,,
28281.0,,,,,,,,,,,,
28283.0,,,,,,,,,,,,
28316.0,,,,,,,,,,,,
28322.0,,,,,,,,,,,,
28349.0,,,,,,,,,,,,
28350.0,,,,,,,,,,,,
28404.0,,,,,,,,,,,,
28425.0,,,,,,,,,,,,
28434.0,,,,,,,,,,,,
28467.0,,,,,,,,,,,,
28473.0,,,,,,,,,,,,
28494.0,,,,,,,,,,,,
28520.0,,,,,,,,,,,,
28569.0,,,,,,,,,,,,
28585.0,,,,,,,,,,,,
28602.0,,,,,,,,,,,,
28671.0,,,,,,,,,,,,
28882.0,,,,,,,,,,,,
29397.0,,,,,,,,,,,,
29510.0,,,,,,,,,,,,
29513.0,,,,,,,,,,,,
29522.0,,,,,,,,,,,,
29562.0,,,,,,,,,,,,
29563.0,,,,,,,,,,,,
29628.0,,,,,,,,,,,,
29710.0,,,,,,,,,,,,
