Male,Single,Age,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,Incredible
1,1,30.0,10.1136,32.3111,0.148,1.0,1.0,4.0,30.0,1
1,1,23.0,16.8625,19.4,0.385,1.0,2.0,2.0,70.0,0
1,1,30.0,30.956100000000003,43.0,0.296,1.0,2.0,3.0,80.0,1
1,1,37.0,0.00131,0.02,0.0592,1.0,1.0,1.0,1.0,0
0,0,30.0,0.0394,0.6,1.77,0.0,0.0,1.0,1.0,0
1,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,43.0,35.4619,400.0,0.118,2.0,6.0,3.0,25.0,0
0,1,22.0,0.00263,0.04,0.118,1.0,1.0,2.0,2.0,0
1,0,39.0,5.74,12.999999999999998,0.592,1.0,7.0,2.0,41.0,1
1,0,37.0,17.851100000000002,20.0,0.0592,3.0,17.0,3.0,64.0,1
0,1,37.0,46.9168,150.0,0.355,0.0,0.0,1.0,116.0,0
0,1,34.0,241.38190000000003,400.0,0.13,0.0,0.0,3.0,18.0,0
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,34.0,7.65,59.99999999999999,0.887,0.0,0.0,2.0,14.0,0
0,1,23.0,4.44,9.13,0.296,2.0,3.0,3.0,78.0,0
0,0,57.0,0.98,14.9,44.0724,0.0,0.0,2.0,2.0,0
0,0,30.0,13.2957,20.0,0.0592,1.0,4.0,3.0,63.0,0
0,1,29.0,0.2759999999999999,4.2,12.423100000000002,0.0,0.0,1.0,1.0,0
1,0,37.0,0.92,13.999999999999998,41.4103,0.0,0.0,1.0,1.0,0
1,1,23.0,155.9225,400.0,0.118,1.0,9.0,5.0,157.0,0
1,1,28.0,105.5457,600.0,14.7894,0.0,0.0,2.0,14.0,0
0,0,37.0,1.74,6.0,0.118,2.0,2.0,2.0,12.0,0
1,0,58.0,439.1025,2810.7397,0.168,4.0,5.0,4.0,23.0,0
0,1,21.0,0.00263,0.04,0.118,1.0,1.0,1.0,1.0,0
0,0,38.0,1.33,12.999999999999998,0.592,1.0,3.0,2.0,6.0,0
1,0,31.0,0.0130999999999999,0.0999999999999999,0.118,1.0,3.0,2.0,4.0,0
1,1,25.0,6.05,29.8,0.0592,1.0,14.0,2.0,54.0,0
1,1,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,43.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0,0,42.0,15.3073,30.0,0.118,2.0,6.0,3.0,33.0,0
0,0,30.0,24.2562,64.0,0.0887,0.0,0.0,2.0,158.0,0
0,0,36.0,2.22,10.0,0.0592,1.0,3.0,3.0,11.0,0
0,0,28.0,130.3027,1000.0,0.118,1.0,2.0,5.0,61.0,1
0,0,44.0,131.484,600.0,590.9844,0.0,0.0,1.0,4.0,0
1,1,24.0,0.926,11.9,0.0592,1.0,5.0,3.0,12.0,0
1,1,27.0,51.3827,75.0,0.0592,3.0,12.0,3.0,66.0,0
1,1,37.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
1,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,35.0,287.2675,259.0,0.296,2.0,6.0,4.0,131.0,1
0,0,36.0,1.38,10.0,0.592,0.0,0.0,2.0,10.0,0
0,1,19.0,1.26,3.0,0.13,0.0,0.0,3.0,43.0,0
0,1,28.0,6.04,10.0,0.118,1.0,3.0,3.0,30.0,0
1,0,47.0,7.18,28.0,0.0592,1.0,7.0,3.0,28.0,0
0,0,29.0,7.16,10.0,0.0947,0.0,0.0,2.0,40.0,0
0,0,32.0,0.715,5.6,0.0592,3.0,18.0,2.0,23.0,1
1,0,30.0,3.79,20.0,0.8280000000000001,0.0,0.0,2.0,19.0,0
0,1,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,42.0,755.3013,600.0,0.592,1.0,2.0,5.0,233.0,0
1,0,31.0,69.4716,213.29,0.296,3.0,6.0,3.0,75.0,1
0,0,32.0,0.0178,0.27,0.7989999999999999,0.0,0.0,1.0,1.0,0
0,1,34.0,32.9931,40.0,0.0603,3.0,4.0,5.0,133.0,1
0,1,23.0,0.0263,0.3999999999999999,1.1800000000000002,0.0,0.0,2.0,2.0,0
1,1,25.0,29.4663,48.0,0.296,1.0,1.0,3.0,39.0,0
1,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,19.0,0.187,1.5,0.0592,1.0,7.0,3.0,13.0,0
1,1,41.0,0.728,10.08,2.96,0.0,0.0,1.0,2.0,0
1,1,44.0,24.9845,380.0,1123.9943,0.0,0.0,2.0,3.0,0
1,1,34.0,0.197,3.0,8.870000000000001,0.0,0.0,1.0,1.0,0
0,1,26.0,0.592,4.0,2.96,0.0,0.0,1.0,4.0,0
1,1,35.0,21.341900000000003,32.0,0.0592,1.0,4.0,2.0,61.0,0
0,1,30.0,3.02,18.0,35.494600000000005,0.0,0.0,1.0,3.0,0
1,1,34.0,54.8169,94.0,0.592,0.0,0.0,1.0,54.0,0
0,0,33.0,40.4898,89.9178,0.26,0.0,0.0,2.0,47.0,0
0,0,33.0,208.6472,356.72,0.118,1.0,1.0,3.0,140.0,1
0,1,34.0,0.585,5.199999999999999,5.03,0.0,0.0,1.0,3.0,0
1,1,25.0,2.91,20.0,0.177,1.0,6.0,2.0,12.0,0
1,0,29.0,6.02,25.78,0.0592,2.0,15.0,3.0,34.0,0
0,1,24.0,144.424,280.0,0.0592,2.0,5.0,4.0,100.0,1
0,1,36.0,100.0198,600.0,3.79,0.0,0.0,2.0,14.0,0
1,0,36.0,2.23,9.8,0.177,3.0,7.0,4.0,19.0,1
0,1,29.0,3.35,30.0,2.96,0.0,0.0,1.0,7.0,0
1,0,32.0,11.9857,20.0,0.532,2.0,2.0,3.0,30.0,0
1,1,22.0,0.2629999999999999,4.0,11.8315,0.0,0.0,2.0,3.0,0
1,1,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,39.0,0.404,2.0,0.0887,1.0,1.0,2.0,8.0,1
1,0,30.0,8.89,80.0,0.135,1.0,2.0,3.0,27.0,1
0,0,55.0,410.2343,1697.6641,1.08,1.0,1.0,3.0,20.0,0
1,1,29.0,9.94,27.3,0.0592,3.0,7.0,3.0,57.0,0
0,1,33.0,7.81,21.372,0.118,1.0,9.0,3.0,44.0,0
0,1,25.0,3.0800000000000005,12.999999999999998,0.296,1.0,1.0,3.0,28.0,0
0,0,29.0,7.42,11.0,0.0639,3.0,4.0,2.0,43.0,1
1,0,30.0,3.04,20.0,0.296,3.0,6.0,4.0,15.0,0
1,1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0,0,31.0,68.00489999999999,490.0,2.74,0.0,0.0,2.0,32.0,1
1,1,29.0,6.46,10.0,0.0592,1.0,1.0,3.0,48.0,1
1,1,20.0,0.0130999999999999,0.1999999999999999,0.592,0.0,0.0,1.0,1.0,0
0,0,28.0,111.82099999999998,600.0,0.0592,2.0,3.0,2.0,67.0,1
1,0,41.0,13.204300000000002,40.0,1.21,0.0,0.0,2.0,13.0,0
0,0,38.0,0.5519999999999999,6.4,5.92,0.0,0.0,1.0,2.0,1
1,0,33.0,0.394,1.2,0.592,1.0,4.0,3.0,13.0,0
